recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-26,202512,12,nakano,AF (Al Fakher),Super Lemon Mint,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Super Lemon Mint,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Two Apples,,,,,,,,,,,,,4,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Two Apples,211,300,,,,,,,,,,,1,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Two Apples,250,0,,,,,,,,,,,2,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Two Apples,95,255,,,,,,,,,,,1,,
2025-12-26,202512,12,office,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),(パチ) Two Apples,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),(パチ) Two Apples,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),(パチ) Two Apples,108,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Vanilla,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Vanilla,190,,,,,,,,,,,,1,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Vanilla,134,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Vanilla,60,,,,,,,,,,,,2,,
2025-12-26,202512,12,office,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),(パチ) Watermelon,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),(パチ) Watermelon,68,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),(パチ) Watermelon,143,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AWE (Al Waha Elite Edition),Libella Swing,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AWE (Al Waha Elite Edition),Libella Swing,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AWE (Al Waha Elite Edition),Libella Swing,0,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Chocolate,24,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Chocolate,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Chocolate,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Earlgray,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Earlgray,186,19,,,,,,,18,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Earlgray,59,266,,,,,,,5,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Earlgray,105,259,,,,,,,12,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Gingerale,,,,,,,,,10,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Gingerale,126,,,,,,,,5,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Gingerale,220,,5,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Gingerale,27,224,,,,,,,6,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Lychee,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Lychee,43,,2,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Lychee,23,,6,,,,,,,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Pan Raas,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Pan Raas,,,8,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Pan Raas,,,9,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Pan Raas,,,6,,,,,,3,,,,,,
2025-12-26,202512,12,office,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZ (Afzal),Red Cherry,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZ (Afzal),Red Cherry,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZ (Afzal),Red Cherry,0,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Alaskan Ice,,,,,,,,,,130,,,,,
