brand_name,flavor_name,is_active
Tangiers Noir,Cardamom Cheesecake,TRUE
Tangiers Noir,Chai,TRUE
Tangiers Noir,Cherry Lemonade,FALSE
Tangiers Noir,Cherry Limeade,TRUE
Tangiers Noir,Chocolate Iced Cream,TRUE
Tangiers Noir,Cinnamon,TRUE
Tangiers Noir,Clove,TRUE
Tangiers Noir,Cocoa,TRUE
Tangiers Noir,Coconut,TRUE
Tangiers Noir,Cookie Dough,TRUE
Tangiers Noir,Cool Strawberry,TRUE
Tangiers Noir,Cooling,TRUE
Tangiers Noir,Dark Cherry,TRUE
Tangiers Noir,Double Orange,FALSE
Tangiers Noir,Eric'S Mango,TRUE
Tangiers Noir,Experimint,TRUE
Tangiers Noir,Extreme Cane Mint,TRUE
Tangiers Noir,Extreme Experimint,TRUE
Tangiers Noir,Forbidden Fruit,TRUE
Tangiers Noir,Foreplay On The Peach,TRUE
Tangiers Birquq,Foreplay On The Peach (Birquq),TRUE
Tangiers Noir,Ginger Pear,TRUE
Tangiers Noir,Grapefruit,TRUE
Tangiers Noir,Green Apple Stuff,TRUE
Tangiers Noir,Green Apple Tea,TRUE
Tangiers Noir,Green Tea,FALSE
Tangiers Noir,Guanabana,FALSE
Tangiers Noir,Hacitraegas,FALSE
Tangiers F-Line,Kashmir (F-Line),TRUE
Tangiers Noir,Kashmir Apple,TRUE
Tangiers Noir,Kashmir Lime,TRUE
Tangiers Noir,Kashmir Peach,TRUE
Tangiers Noir,Key Lime Pie,TRUE
Tangiers Noir,Kiwi,TRUE
Tangiers Noir,Kosmik,TRUE
Tangiers Noir,Lemon,TRUE
Tangiers Noir,Lemon Blossom,FALSE
Tangiers Noir,Lemon Lime,TRUE
Tangiers Noir,Lemongrass,TRUE
Tangiers Noir,Lemon Tea,TRUE
Tangiers Noir,Lime,TRUE
Tangiers Noir,Liquorice,FALSE
Tangiers Noir,Little Purple Stuff,TRUE
Tangiers Noir,Mandarin Orange,TRUE
Tangiers Noir,Mango Fling,TRUE
Tangiers Noir,Maraschino Cherry,TRUE
Tangiers Noir,Marigold,FALSE
Tangiers Noir,Midnight Orchard Apple,FALSE
Tangiers Noir,Mime,TRUE
Tangiers Noir,Mimon,TRUE
Tangiers Noir,Mixed Fruit With Whipped Cream,TRUE
