recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AF (Al Fakher),(パチ) Watermelon,✕,Strong,,211,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,68,-,-,-,68,,,,,,,,0,,,,,,,0,68,143,-,-,-,143,,,,,,,,0,,,,,,,0
,,,AWE (Al Waha Elite Edition),Libella Swing,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZ (Afzal),Chocolate,✕,Sweet,,24,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,24,-,-,-,24,,,,,,,,0,,,,,,,0,24,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZ (Afzal),Earlgray,◯,Strong,2,"2,644",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,186,19,-,-,205,18,,,,,,,900,,,,,,,0,"1,105",59,266,-,-,325,5,,,,,,,250,,,,,,,0,575,105,259,-,-,364,12,,,,,,,600,,,,,,,0
,,,AZ (Afzal),Gingerale,◯,Normal,1,"1,897",-,-,-,-,0,10,,,,,,,500,,,,,,,0,500,126,-,-,-,126,5,,,,,,,250,,,,,,,0,376,220,-,-,-,220,,,,,,,,0,5,,,,,,250,470,27,224,-,-,251,6,,,,,,,300,,,,,,,0
,,,AZ (Afzal),Lychee,✕,Normal,,466,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,43,-,-,-,43,,,,,,,,0,2,,,,,,100,143,23,-,-,-,23,,,,,,,,0,6,,,,,,300
,,,AZ (Afzal),Pan Raas,✕,Strong,,"1,300",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,8,,,,,,400,400,-,-,-,-,0,,,,,,,,0,9,,,,,,450,450,-,-,-,-,0,3,,,,,,,150,6,,,,,,300
,,,AZ (Afzal),Red Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Alaskan Ice,◯,Mint,2,"16,603",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",25,216,-,-,241,,3,,,,,,300,,5,,,,,500,"1,041",256,205,-,-,461,,,,,,,,0,,4,,,,,400,861,57,244,-,-,301,,9,,,,,,900,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Apple Cider,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Barista'S Choice,◯,Sweet,1,"10,273",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",72,-,-,-,72,,,,,,,,0,,1,,,,,100,172,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,101,-,-,-,101,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Bermuda Mint,◯,Mint,1,"17,531",-,-,-,-,0,,135,,,,,,"13,500",,,,,,,0,"13,500",136,205,-,-,341,,7,,,,,,700,,4,,,,,400,"1,441",231,211,-,-,442,,4,,,,,,400,,5,,,,,500,"1,342",133,215,-,-,348,,5,,,,,,500,,4,,,,,400
,,,AZR BLACK (Azure Black Line),Bermuda Mint(Black),✕,Mint,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Berrymania,◯,Strong,,"14,479",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",52,-,-,-,52,,,,,,,,0,,5,,,,,500,552,214,-,-,-,214,,,,,,,,0,,4,,,,,400,614,113,-,-,-,113,,2,,,,,,200,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Black Tea,◯,Strong,,"11,952",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",77,-,-,-,77,,1,,,,,,100,,5,,,,,500,677,41,-,-,-,41,,,,,,,,0,,4,,,,,400,441,134,-,-,-,134,,2,,,,,,200,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),California Blue,◯,Normal,1,393,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,76,-,-,-,76,,,,,,,,0,,,,,,,0,76,191,-,-,-,191,,,,,,,,0,,,,,,,0,191,126,-,-,-,126,,,,,,,,0,,,,,,,0
,,,AZR BLACK (Azure Black Line),California Blue (Black),✕,Normal,,"2,400",-,-,-,-,0,,10,,,,,,"1,000",,,,,,,0,"1,000",17,-,-,-,17,,,,,,,,0,,,,,,,0,17,73,-,-,-,73,,,,,,,,0,,3,,,,,300,373,10,-,-,-,10,,5,,,,,,500,,5,,,,,500
