ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 2/26(木),,,TRUE,(2)移動: 2/26(木),,,TRUE,(3)移動: 2/28(日),,,TRUE,(4)移動: 2/28(日),,,TRUE,(5) (欠番),,,TRUE,(6)移動: 3/1(日),,,TRUE,(7)移動: 3/1(日),,,TRUE,(8)移動: 3/2(月),,,TRUE,(9)移動: 3/2(月),,,TRUE,(10)移動: 3/2(月),,,TRUE,(11)移動: 3/7(土),,,TRUE,(12)移動: 3/14(土),,,TRUE,(13)移動: 3/14(土),,,TRUE,2026-03-16,,,TRUE,2026-03-16,,,TRUE,02/26,,通関ミスの為、そもそもー500g入荷してた。,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AZR GOLD (Azure Gold Line),Kokutou,◯,Sweet,2,"19,806",-,-,-,-,0,,165,,,,,,"16,500",,,,,,,0,"16,500",240,218,,,458,,3,,,,,,300,,5,,,,,500,"1,258",173,223,,,396,,,,,,,,0,,6,,,,,600,996,232,220,,,452,,1,,,,,,100,,5,,,,,500,"1,052",,,"17,500","1,318",744,977,0,162,235,429,,,,,,,,,-500,,500,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,500,500,"16,500","1,318","1,244","1,477","16,500","1,258",996,"1,052",0,60,248,425,"16,500","1,198",748,627,,,,,,,826,"20,539",,TRUE
AZR BLACK (Azure Black Line),Kokutou (Black),✕,Sweet,,"7,177",-,-,-,-,0,,50,,,,,,"5,000",,,,,,,0,"5,000",119,,,,119,,3,,,,,,300,,1,,,,,100,519,47,,,,47,,4,,,,,,400,,3,,,,,300,747,111,,,,111,,3,,,,,,300,,5,,,,,500,911,,,"5,500",528,991,469,0,318,144,33,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"5,000",528,991,969,"5,000",519,747,911,0,9,244,58,"5,000",510,503,853,,,,,,,495,"7,488",,TRUE
AZR GOLD (Azure Gold Line),Lemongrass,◯,Normal,1,"13,905",-,-,-,-,0,,115,,,,,,"11,500",,,,,,,0,"11,500",127,,,,127,,3,,,,,,300,,5,,,,,500,927,145,,,,145,,,,,,,,0,,1,,,,,100,245,101,232,,,333,,4,,,,,,400,,5,,,,,500,"1,233",,,"11,500",960,503,"1,297",0,39,52,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"11,500",960,503,"1,297","11,500",927,245,"1,233",0,33,258,64,"11,500",894,-13,"1,169",,,,,,,237,"14,260",,TRUE
AZR BLACK (Azure Black Line),Lemongrass (Black),✕,Normal,,"4,006",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",100,,,,100,,2,,,,,,200,,1,,,,,100,400,,,,,0,,,,,,,,0,,,,,,,0,0,6,,,,6,,1,,,,,,100,,5,,,,,500,606,,,"3,000",400,0,618,0,200,0,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,000",400,0,618,"3,000",400,0,606,0,0,0,12,"3,000",400,0,594,,,,,,,402,"4,018",,TRUE
AZR GOLD (Azure Gold Line),Lemon Muffin,◯,Normal,1,"2,284",-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,184,,,,184,,4,,,,,,400,,4,,,,,400,984,110,,,,110,,,,,,,,0,,,,,,,0,110,190,,,,190,,,,,,,,0,,5,,,,,500,690,,,500,"1,003",151,701,0,119,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,500,"1,003",151,701,500,984,110,690,0,19,41,11,500,965,69,679,,,,,,,164,"2,355",,TRUE
AZR GOLD (Azure Gold Line),Lemon Sage,◯,Normal,1,"15,737",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",163,,,,163,,3,,,,,,300,,5,,,,,500,963,219,,,,219,,3,,,,,,300,,6,,,,,600,"1,119",223,232,,,455,,2,,,,,,200,,5,,,,,500,"1,155",,,"12,500",987,"1,271","1,261",0,51,105,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"12,500",987,"1,271","1,261","12,500",963,"1,119","1,155",0,24,152,106,"12,500",939,967,"1,049",,,,,,,204,"16,019",,TRUE
AZR GOLD (Azure Gold Line),Lime,◯,Normal,1,"15,901",-,-,-,-,0,,120,,,,,,"12,000",,,,,,,0,"12,000",110,213,,,323,,1,,,,,,100,,5,,,,,500,923,98,,,,98,,10,,,,,,"1,000",,5,,,,,500,"1,598",70,210,,,280,,6,,,,,,600,,5,,,,,500,"1,380",,,"13,500",970,704,"1,223",0,183,258,133,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,500",0,"1,000",500,"12,000",970,"1,704","1,723","12,000",923,"1,598","1,380",0,47,106,343,"12,000",876,"1,492","1,037",,,,,,,574,"16,397",,TRUE
AZR GOLD (Azure Gold Line),Lime Cola,✕,Normal,,607,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,144,,,,144,,,,,,,,0,,,,,,,0,144,74,,,,74,,,,,,,,0,,3,,,,,300,374,89,,,,89,,,,,,,,0,,,,,,,0,89,,,0,155,498,129,0,208,14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,155,498,129,0,144,374,89,0,11,124,40,0,133,250,49,,,,,,,260,782,,TRUE
AZR GOLD (Azure Gold Line),Limoncello,◯,Normal,2,"19,729",-,-,-,-,0,,160,,,,,,"16,000",,,,,,,0,"16,000",246,213,,,459,,3,,,,,,300,,5,,,,,500,"1,259",40,208,,,248,,,,,,,,0,,7,,,,,700,948,204,218,,,422,,6,,,,,,600,,5,,,,,500,"1,522",,,"18,000","1,334",659,"1,084",0,148,134,140,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000",0,"1,000","1,000","16,000","1,334","1,659","2,084","16,000","1,259",948,"1,522",0,75,711,562,"16,000","1,184",237,960,,,,,,,422,"21,077",,TRUE
AZR BLACK (Azure Black Line),Limoncello (Black),✕,Normal,,"4,688",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",159,,,,159,,4,,,,,,400,,1,,,,,100,659,94,,,,94,,,,,,,,0,,1,,,,,100,194,35,,,,35,,3,,,,,,300,,5,,,,,500,835,,,"3,000",772,176,857,0,314,566,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,000",772,176,857,"3,000",659,194,835,0,113,-18,22,"3,000",546,212,813,,,,,,,885,"4,805",,TRUE
AZR GOLD (Azure Gold Line),Lychee,◯,Normal,2,"25,521",-,-,-,-,0,,220,,,,,,"22,000",,,,,,,0,"22,000",106,206,,,312,,4,,,,,,400,,4,,,,,400,"1,112",53,217,,,270,,5,,,,,,500,,4,,,,,400,"1,170",128,211,,,339,,4,,,,,,400,,5,,,,,500,"1,239",,,"25,000",973,660,656,0,352,536,498,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,"-1,000",,,"1,000",,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000",500,"1,000","1,500","22,000","1,473","1,660","2,156","22,000","1,112","1,170","1,239",0,361,490,917,"22,000",751,680,322,,,,,,,"1,386","27,289",,TRUE
AZR BLACK (Azure Black Line),Lychee (Black),✕,Normal,,"1,565",-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,123,,,,123,,2,,,,,,200,,1,,,,,100,423,55,,,,55,,,,,,,,0,,1,,,,,100,155,87,,,,87,,,,,,,,0,,5,,,,,500,587,,,600,274,400,621,0,131,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,200,0,0,400,474,400,621,400,423,155,587,0,51,245,34,400,372,-90,553,,,,,,,160,"1,895",,TRUE
AZR GOLD (Azure Gold Line),Mexicola,◯,Strong,2,"13,788",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",179,204,,,383,,9,,,,,,900,,5,,,,,500,"1,783",115,211,,,326,,,,,,,,0,,6,,,,,600,926,174,205,,,379,,2,,,,,,200,,5,,,,,500,"1,079",,,"13,000",905,444,"1,016",0,292,875,311,,,,,,,,,"-1,000",,"1,000",,,,,,,,,,-500,,,500,,,,,,,,,"-1,000","1,000",,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000","1,000","1,000","1,000","10,000","1,905","1,444","2,016","10,000","1,783",926,"1,079",0,122,518,937,"10,000","1,661",408,142,,,,,,,"1,478","15,365",,TRUE
AZR BLACK (Azure Black Line),Mexicola (Black),✕,Strong,,"2,628",-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,85,,,,85,,8,,,,,,800,,1,,,,,100,985,37,,,,37,,,,,,,,0,,5,,,,,500,537,106,,,,106,,1,,,,,,100,,5,,,,,500,706,,,400,"1,210",694,"1,186",0,150,232,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,400,"1,210",694,"1,186",400,985,537,706,0,225,157,480,400,760,380,226,,,,,,,590,"3,490",,TRUE
AZR GOLD (Azure Gold Line),New Grape Mint,◯,Normal,1,"15,691",-,-,-,-,0,,135,,,,,,"13,500",,,,,,,0,"13,500",113,,,,113,,2,,,,,,200,,5,,,,,500,813,78,,,,78,,,,,,,,0,,1,,,,,100,178,100,,,,100,,6,,,,,,600,,5,,,,,500,"1,200",,,"14,000",831,356,960,0,48,40,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"13,500",831,356,"1,460","13,500",813,178,"1,200",0,18,178,260,"13,500",795,0,940,,,,,,,201,"16,147",,TRUE
AZR GOLD (Azure Gold Line),Orange Crush,✕,Normal,,"13,960",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",101,,,,101,,5,,,,,,500,,5,,,,,500,"1,101",47,,,,47,,4,,,,,,400,,4,,,,,400,847,212,,,,212,,3,,,,,,300,,5,,,,,500,"1,012",,,"11,500","1,162",591,"1,082",0,34,152,110,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"11,000","1,162","1,091","1,082","11,000","1,101",847,"1,012",0,61,244,70,"11,000","1,040",603,942,,,,,,,296,"14,335",,TRUE
AZR BLACK (Azure Black Line),Orange Crush (Black),✕,Normal,,"5,459",-,-,-,-,0,,35,,,,,,"3,500",,,,,,,0,"3,500",74,,,,74,,6,,,,,,600,,1,,,,,100,774,100,,,,100,,,,,,,,0,,3,,,,,300,400,185,,,,185,,1,,,,,,100,,5,,,,,500,785,,,"4,500",285,3,"1,121",0,304,321,30,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,500,-100,"3,500",785,503,"1,021","3,500",774,400,785,0,11,103,236,"3,500",763,297,549,,,,,,,655,"5,809",,TRUE
AZR GOLD (Azure Gold Line),Papaya,✕,Normal,,74,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,43,,,,43,,,,,,,,0,,,,,,,0,43,31,,,,31,,,,,,,,0,,,,,,,0,31,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,46,38,13,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,46,38,13,0,43,31,0,0,3,7,13,0,40,24,-13,,,,,,,33,97,,TRUE
AZR GOLD (Azure Gold Line),Passion Fruit,◯,Normal,1,"17,463",-,-,-,-,0,,145,,,,,,"14,500",,,,,,,0,"14,500",120,,,,120,,5,,,,,,500,,5,,,,,500,"1,120",67,,,,67,,2,,,,,,200,,6,,,,,600,867,176,,,,176,,3,,,,,,300,,5,,,,,500,976,,,"15,000","1,146",458,"1,161",0,25,115,110,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"14,500","1,146",958,"1,161","14,500","1,120",867,976,0,26,91,185,"14,500","1,094",776,791,,,,,,,250,"17,765",,TRUE
AZR BLACK (Azure Black Line),Passion Fruit (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR BLACK (Azure Black Line),Pineapple (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Pineapple Express,◯,Normal,1,"15,561",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",101,,,,101,,2,,,,,,200,,3,,,,,300,601,187,,,,187,,3,,,,,,300,,3,,,,,300,787,73,,,,73,,6,,,,,,600,,5,,,,,500,"1,173",,,"13,500",891,876,952,0,59,152,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"13,000",891,876,"1,452","13,000",601,787,"1,173",0,290,89,279,"13,000",311,698,894,,,,,,,354,"16,219",,TRUE
AZR GOLD (Azure Gold Line),Pinky,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Plumberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Queen Of Fruits,◯,Normal,1,"13,652",-,-,-,-,0,,115,,,,,,"11,500",,,,,,,0,"11,500",218,,,,218,,2,,,,,,200,,,,,,,0,418,69,,,,69,,,,,,,,0,,3,,,,,300,369,165,,,,165,,7,,,,,,700,,5,,,,,500,"1,365",,,"12,500",941,555,856,0,28,82,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",0,0,"1,000","11,500",941,555,"1,856","11,500",418,369,"1,365",0,523,186,491,"11,500",-105,183,874,,,,,,,370,"14,852",,TRUE
AZR BLACK (Azure Black Line),Queen Of Fruits (Black),✕,Normal,,564,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,36,,,,36,,,,,,,,0,,,,,,,0,36,62,,,,62,,,,,,,,0,,1,,,,,100,162,66,,,,66,,,,,,,,0,,3,,,,,300,366,,,0,39,172,366,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,39,172,366,0,36,162,366,0,3,10,0,0,33,152,366,,,,,,,12,577,,TRUE
AZR GOLD (Azure Gold Line),Raspberry Vanilla,✕,Strong,,71,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,41,,,,41,,,,,,,,0,,,,,,,0,41,,,,,0,,,,,,,,0,,,,,,,0,0,30,,,,30,,,,,,,,0,,,,,,,0,30,,,0,41,0,40,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,41,0,40,0,41,0,30,0,0,0,10,0,41,0,20,,,,,,,6,81,,TRUE
AZR GOLD (Azure Gold Line),Rio Mint,✕,Mint,,"9,797",-,-,-,-,0,,65,,,,,,"6,500",,,,,,,0,"6,500",101,,,,101,,5,,,,,,500,,5,,,,,500,"1,101",20,,,,20,,5,,,,,,500,,5,,,,,500,"1,020",76,,,,76,,6,,,,,,600,,5,,,,,500,"1,176",,,"7,000","1,108","1,053",814,0,30,18,166,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"6,500","1,108","1,053","1,314","6,500","1,101","1,020","1,176",0,7,33,138,"6,500","1,094",987,"1,038",,,,,,,214,"9,975",,TRUE
AZR BLACK (Azure Black Line),Royal Citrus (Black),✕,Normal,,103,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,58,,,,58,,,,,,,,0,,,,,,,0,58,8,,,,8,,,,,,,,0,,,,,,,0,8,37,,,,37,,,,,,,,0,,,,,,,0,37,,,0,58,157,41,0,2,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,58,157,41,0,58,8,37,0,0,149,4,0,58,-141,33,,,,,,,25,256,,TRUE
AZR GOLD (Azure Gold Line),Royal Mango,◯,Normal,1,"12,680",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",161,,,,161,,5,,,,,,500,,3,,,,,300,961,181,,,,181,,,,,,,,0,,6,,,,,600,781,81,257,,,338,,1,,,,,,100,,5,,,,,500,938,,,"11,000",697,976,916,0,180,191,172,,,,,,,,,,,,,,,,,,,,,-500,,,500,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,0,500,"10,000","1,197",976,"1,416","10,000",961,781,938,0,236,195,478,"10,000",725,586,460,,,,,,,543,"13,589",,TRUE
AZR BLACK (Azure Black Line),Royal Orange (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Royal Queen,✕,Strong,,184,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,61,,,,61,,,,,,,,0,,,,,,,0,61,123,,,,123,,,,,,,,0,,,,,,,0,123,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,64,123,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,64,123,0,0,61,123,0,0,3,0,0,0,58,123,0,,,,,,,7,187,,TRUE
AZR GOLD (Azure Gold Line),Royal Raspberry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Solana Beach,✕,Normal,,535,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,26,,,,26,,,,,,,,0,,2,,,,,200,226,33,,,,33,,,,,,,,0,,1,,,,,100,133,76,,,,76,,,,,,,,0,,1,,,,,100,176,,,0,330,136,121,0,-85,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-100,0,100,0,230,136,221,0,226,133,176,0,4,3,45,0,222,130,131,,,,,,,-32,587,,TRUE
AZR GOLD (Azure Gold Line),Sour,◯,Normal,1,"8,399",-,-,-,-,0,,60,,,,,,"6,000",,,,,,,0,"6,000",190,,,,190,,5,,,,,,500,,3,,,,,300,990,179,,,,179,,,,,,,,0,,2,,,,,200,379,130,,,,130,,4,,,,,,400,,5,,,,,500,"1,030",,,"6,500",512,520,"1,069",0,8,124,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,0,0,"6,000","1,012",520,"1,069","6,000",990,379,"1,030",0,22,141,39,"6,000",968,238,991,,,,,,,254,"8,601",,TRUE
AZR BLACK (Azure Black Line),Sour (Black),✕,Normal,,63,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,25,,,,25,,,,,,,,0,,,,,,,0,25,,,,,0,,,,,,,,0,,,,,,,0,0,38,,,,38,,,,,,,,0,,,,,,,0,38,,,0,25,0,38,0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,25,0,38,0,25,0,38,0,0,0,0,0,25,0,38,,,,,,,9,63,,TRUE
