ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 2/26(木),,,TRUE,(2)移動: 2/26(木),,,TRUE,(3)移動: 2/28(日),,,TRUE,(4)移動: 2/28(日),,,TRUE,(5) (欠番),,,TRUE,(6)移動: 3/1(日),,,TRUE,(7)移動: 3/1(日),,,TRUE,(8)移動: 3/2(月),,,TRUE,(9)移動: 3/2(月),,,TRUE,(10)移動: 3/2(月),,,TRUE,(11)移動: 3/7(土),,,TRUE,(12)移動: 3/14(土),,,TRUE,(13)移動: 3/14(土),,,TRUE,2026-03-16,,,TRUE,2026-03-16,,,TRUE,02/26,,通関ミスの為、そもそもー500g入荷してた。,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AF (Al Fakher),Peach,◯,Normal,1,"1,326",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,59,,,,59,,,,,2,,,500,,,,,,,0,559,141,,,,141,,,,,1,,,250,,,,,,,0,391,126,,,,126,,,,,1,,,250,,,,,,,0,376,,,500,334,218,415,0,31,90,62,,,,,,,,,-250,,250,,,,,,,,,,,,,,,,,,,,,,-250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,250,250,0,0,584,468,415,0,559,391,376,0,25,77,39,0,534,314,337,,,,,,,183,"1,467",,TRUE
AF (Al Fakher),Plum,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6,0,,TRUE
AF (Al Fakher),Rose,✕,Strong,,827,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,224,,,,224,,,,,,,,0,,,,,,,0,224,290,,,,290,,,,,,,,0,,,,,,,0,290,213,,,,213,2,,,,,,,100,,,,,,,0,313,,,0,246,299,337,0,31,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,246,299,337,0,224,290,313,0,22,9,24,0,202,281,289,,,,,,,93,882,,TRUE
AF (Al Fakher),Super Lemon Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Two Apples,◯,Strong,2,872,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,124,280,,,404,,,,,,,,0,,,,,,,0,404,279,,,,279,,,,,,,,0,,,,,,,0,279,189,0,,,189,,,,,,,,0,,,,,,,0,189,,,0,495,270,272,0,245,467,325,750,,,,,,,,-500,,500,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,500,250,0,495,770,522,0,404,279,189,0,91,491,333,0,313,-212,-144,,,,,,,"1,037","1,787",,TRUE
AF (Al Fakher),(パチ) Two Apples,△,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Vanilla,△,Sweet,1,"1,681",-,-,-,-,0,,,,,2,,,500,,,,,,,0,500,114,,,,114,,,,,2,,,500,,,,,,,0,614,223,,,,223,,,,,1,,,250,,,,,,,0,473,94,,,,94,,,,,,,,0,,,,,,,0,94,,,0,189,101,166,0,87,141,74,"1,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,500,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,0,500,689,601,166,500,614,473,94,0,75,128,72,500,539,345,22,,,,,,,302,"1,956",,TRUE
AF (Al Fakher),(パチ) Watermelon,✕,Strong,,187,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,60,,,,60,,,,,,,,0,,,,,,,0,60,127,,,,127,,,,,,,,0,,,,,,,0,127,,,0,0,69,135,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,69,135,0,0,60,127,0,0,9,8,0,0,51,119,,,,,,,4,204,,TRUE
AWE (Al Waha Elite Edition),Libella Swing,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AZ (Afzal),Chocolate,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,10,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,-10,0,0,,,,,,,8,10,,FALSE
