ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,03/30,,,TRUE,03/30,,,TRUE,03/30,,佐賀県に持って行くぞ✈️,TRUE,03/30,,,TRUE,03/31,,,TRUE,03/31,,,TRUE,04/01,,,TRUE,04/04,,,TRUE,04/08,,,TRUE,04/15,,我慢できずに吸った。,TRUE,04/15,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AZR BLACK (Azure Black Line),Kokutou (Black),✕,Sweet,,"6,925",-,-,-,-,0,,50,,,,,,"5,000",,,,,,,0,"5,000",23,-,,,23,,3,,,,,,300,,1,,,,,100,423,139,,,,139,,,,,,,,0,,5,,,,,500,639,63,-,,,63,,3,,,,,,300,,5,,,,,500,863,,,"5,000",519,747,911,0,9,244,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"5,000",519,747,911,"5,000",423,639,863,0,96,108,48,"5,000",327,531,815,,,,,,,311,"7,177",,TRUE
AZR GOLD (Azure Gold Line),Lemongrass,◯,Normal,1,"13,674",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",102,-,,,102,,3,,,,,,300,,5,,,,,500,902,195,,,,195,,,,,,,,0,,4,,,,,400,595,44,233,,,277,,4,,,,,,400,,5,,,,,500,"1,177",,,"11,500",927,245,"1,233",0,33,258,64,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"11,000",927,745,"1,233","11,000",902,595,"1,177",0,25,150,56,"11,000",877,445,"1,121",,,,,,,355,"13,905",,TRUE
AZR BLACK (Azure Black Line),Lemongrass (Black),✕,Normal,,"3,906",-,-,-,-,0,,30,,,,,,"3,000",,,,,,,0,"3,000",100,,,,100,,1,,,,,,100,,1,,,,,100,300,,,,,0,,,,,,,,0,,,,,,,0,0,6,-,,,6,,1,,,,,,100,,5,,,,,500,606,,,"3,000",400,0,606,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,000",400,0,606,"3,000",300,0,606,0,100,0,0,"3,000",200,0,606,,,,,,,12,"4,006",,TRUE
AZR GOLD (Azure Gold Line),Lemon Muffin,◯,Normal,1,"2,224",-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,175,-,,,175,,3,,,,,,300,,5,,,,,500,975,72,,,,72,,,,,,,,0,,,,,,,0,72,177,-,,,177,,,,,,,,0,,5,,,,,500,677,,,500,984,110,690,0,19,41,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,500,984,110,690,500,975,72,677,0,9,38,13,500,966,34,664,,,,,,,71,"2,284",,TRUE
AZR GOLD (Azure Gold Line),Lemon Sage,◯,Normal,1,"15,502",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",121,-,,,121,,3,,,,,,300,,5,,,,,500,921,87,,,,87,,3,,,,,,300,,6,,,,,600,987,161,233,,,394,,2,,,,,,200,,5,,,,,500,"1,094",,,"12,500",963,"1,119","1,155",0,24,152,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"12,500",963,"1,119","1,155","12,500",921,987,"1,094",0,42,132,61,"12,500",879,855,"1,033",,,,,,,282,"15,737",,TRUE
AZR GOLD (Azure Gold Line),Lime,◯,Normal,1,"15,705",-,-,-,-,0,,120,,,,,,"12,000",,,,,,,0,"12,000",189,179,,,368,,,,,,,,0,,5,,,,,500,868,227,,,,227,,8,,,,,,800,,5,,,,,500,"1,527",200,210,,,410,,4,,,,,,400,,5,,,,,500,"1,310",,,"12,000",923,"1,598","1,380",0,47,106,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"12,000",923,"1,598","1,380","12,000",868,"1,527","1,310",0,55,71,70,"12,000",813,"1,456","1,240",,,,,,,496,"15,901",,TRUE
AZR GOLD (Azure Gold Line),Lime Cola,✕,Normal,,564,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,144,-,,,144,,,,,,,,0,,,,,,,0,144,63,,,,63,,,,,,,,0,,3,,,,,300,363,57,-,,,57,,,,,,,,0,,,,,,,0,57,,,0,144,374,89,0,11,124,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,144,374,89,0,144,363,57,0,0,11,32,0,144,352,25,,,,,,,175,607,,TRUE
AZR GOLD (Azure Gold Line),Limoncello,◯,Normal,2,"18,448",-,-,-,-,0,,160,,,,,,"16,000",,,,,,,0,"16,000",121,212,,,333,,3,,,,,,300,,4,,,,,400,"1,033",74,223,,,297,,,,,,,,0,,,,,,,0,297,184,234,,,418,,3,,,,,,300,,4,,,,,400,"1,118",,,"16,000","1,259",948,"1,522",0,75,711,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"16,000","1,259",948,"1,522","16,000","1,033",297,"1,118",0,226,651,404,"16,000",807,-354,714,,,,,,,"1,348","19,729",,TRUE
AZR BLACK (Azure Black Line),Limoncello (Black),✕,Normal,,"4,218",-,-,-,-,0,,25,,,,,,"2,500",,,,,,,0,"2,500",136,-,,,136,,4,,,,,,400,,1,,,,,100,636,53,,,,53,,,,,,,,0,,3,,,,,300,353,29,-,,,29,,3,,,,,,300,,4,,,,,400,729,,,"3,000",659,194,835,0,113,-18,22,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"2,500",659,694,835,"2,500",636,353,729,0,23,341,106,"2,500",613,12,623,,,,,,,117,"4,688",,TRUE
AZR GOLD (Azure Gold Line),Lychee,◯,Normal,2,"23,226",-,-,-,-,0,,210,,,,,,"21,000",,,,,,,0,"21,000",227,218,,,445,,1,,,,,,100,,5,,,,,500,"1,045",230,,,,230,,,,,,,,0,,,,,,,0,230,138,213,,,351,,1,,,,,,100,,5,,,,,500,951,,,"22,000","1,112","1,170","1,239",0,361,490,917,,,,,-500,,,500,-100,,,,-400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",400,0,500,"21,000","1,512","1,170","1,739","21,000","1,045",230,951,0,467,940,788,"21,000",578,-710,163,,,,,,,"1,768","25,421",,TRUE
AZR BLACK (Azure Black Line),Lychee (Black),✕,Normal,,"1,007",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,69,-,,,69,,2,,,,,,200,,1,,,,,100,369,23,,,,23,,,,,,,,0,,2,,,,,200,223,115,-,,,115,,,,,,,,0,,3,,,,,300,415,,,400,423,155,587,0,51,245,34,,,,,,,,,,,,,,,,,-400,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400,0,400,0,0,423,555,587,0,369,223,415,0,54,332,172,0,315,-109,243,,,,,,,330,"1,565",,TRUE
AZR GOLD (Azure Gold Line),Mexicola,◯,Strong,2,"12,519",-,-,-,-,0,,95,,,,,,"9,500",,,,,,,0,"9,500",146,266,,,412,,7,,,,,,700,,4,,,,,400,"1,512",192,,,,192,,,,,,,,0,,,,,,,0,192,98,317,,,415,,4,,,,,,400,,5,,,,,500,"1,315",,,"10,000","1,783",926,"1,079",0,122,518,937,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"9,500","1,783",926,"1,579","9,500","1,512",192,"1,315",0,271,734,264,"9,500","1,241",-542,"1,051",,,,,,,"1,577","13,788",,TRUE
AZR BLACK (Azure Black Line),Mexicola (Black),✕,Strong,,"2,020",-,-,-,-,0,,4,,,,,,400,,,,,,,0,400,49,-,,,49,,7,,,,,,700,,1,,,,,100,849,8,,,,8,,,,,,,,0,,4,,,,,400,408,163,-,,,163,,,,,,,,0,,2,,,,,200,363,,,400,985,537,706,0,225,157,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,400,985,537,706,400,849,408,363,0,136,129,343,400,713,279,20,,,,,,,862,"2,628",,TRUE
AZR GOLD (Azure Gold Line),New Grape Mint,◯,Normal,1,"15,338",-,-,-,-,0,,130,,,,,,"13,000",,,,,,,0,"13,000",94,-,,,94,,2,,,,,,200,,5,,,,,500,794,205,,,,205,,,,,,,,0,,4,,,,,400,605,139,-,,,139,,3,,,,,,300,,5,,,,,500,939,,,"13,500",813,178,"1,200",0,18,178,260,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"13,000",813,678,"1,200","13,000",794,605,939,0,19,73,261,"13,000",775,532,678,,,,,,,456,"15,691",,TRUE
AZR GOLD (Azure Gold Line),Orange Crush,✕,Normal,,"13,563",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",150,-,,,150,,4,,,,,,400,,5,,,,,500,"1,050",233,,,,233,,,,,,,,0,,6,,,,,600,833,180,-,,,180,,1,,,,,,100,,4,,,,,400,680,,,"11,000","1,101",847,"1,012",0,61,244,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"11,000","1,101",847,"1,012","11,000","1,050",833,680,0,51,14,332,"11,000",999,819,348,,,,,,,375,"13,960",,TRUE
AZR BLACK (Azure Black Line),Orange Crush (Black),✕,Normal,,"4,967",-,-,-,-,0,,35,,,,,,"3,500",,,,,,,0,"3,500",246,-,,,246,,2,,,,,,200,,1,,,,,100,546,78,,,,78,,,,,,,,0,,3,,,,,300,378,143,-,,,143,,,,,,,,0,,4,,,,,400,543,,,"3,500",774,400,785,0,11,103,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"3,500",774,400,785,"3,500",546,378,543,0,228,22,242,"3,500",318,356,301,,,,,,,350,"5,459",,TRUE
AZR GOLD (Azure Gold Line),Papaya,✕,Normal,,58,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,43,-,,,43,,,,,,,,0,,,,,,,0,43,15,,,,15,,,,,,,,0,,,,,,,0,15,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,43,31,0,0,3,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,43,31,0,0,43,15,0,0,0,16,0,0,43,-1,0,,,,,,,23,74,,TRUE
AZR GOLD (Azure Gold Line),Passion Fruit,◯,Normal,1,"17,247",-,-,-,-,0,,140,,,,,,"14,000",,,,,,,0,"14,000",183,-,,,183,,4,,,,,,400,,5,,,,,500,"1,083",141,,,,141,,,,,,,,0,,6,,,,,600,741,223,-,,,223,,7,,,,,,700,,5,,,,,500,"1,423",,,"14,500","1,120",867,976,0,26,91,185,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"14,000","1,120",867,"1,476","14,000","1,083",741,"1,423",0,37,126,53,"14,000","1,046",615,"1,370",,,,,,,302,"17,463",,TRUE
AZR BLACK (Azure Black Line),Passion Fruit (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR BLACK (Azure Black Line),Pineapple (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Pineapple Express,◯,Normal,1,"15,244",-,-,-,-,0,,120,,,,,,"12,000",,,,,,,0,"12,000",144,-,,,144,,3,,,,,,300,,5,,,,,500,944,150,,,,150,,1,,,,,,100,,5,,,,,500,750,150,-,,,150,,9,,,,,,900,,5,,,,,500,"1,550",,,"13,000",601,787,"1,173",0,290,89,279,,,,,-500,,,500,,,,,-500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,0,500,"12,000","1,101",787,"1,673","12,000",944,750,"1,550",0,157,37,123,"12,000",787,713,"1,427",,,,,,,658,"15,561",,TRUE
AZR GOLD (Azure Gold Line),Pinky,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Plumberry,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Queen Of Fruits,◯,Normal,1,"13,060",-,-,-,-,0,,105,,,,,,"10,500",,,,,,,0,"10,500",180,-,,,180,,5,,,,,,500,,5,,,,,500,"1,180",125,,,,125,,1,,,,,,100,,4,,,,,400,625,155,-,,,155,,3,,,,,,300,,3,,,,,300,755,,,"11,500",418,369,"1,365",0,523,186,491,,,,,,,,,,,,,-500,500,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000",500,500,0,"10,500",918,869,"1,365","10,500","1,180",625,755,0,-262,244,610,"10,500","1,442",381,145,,,,,,,"1,200","13,652",,TRUE
AZR BLACK (Azure Black Line),Queen Of Fruits (Black),✕,Normal,,556,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,33,-,,,33,,,,,,,,0,,,,,,,0,33,60,,,,60,,,,,,,,0,,1,,,,,100,160,63,-,,,63,,,,,,,,0,,3,,,,,300,363,,,0,36,162,366,0,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,36,162,366,0,33,160,363,0,3,2,3,0,30,158,360,,,,,,,13,564,,TRUE
AZR GOLD (Azure Gold Line),Raspberry Vanilla,✕,Strong,,58,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,31,-,,,31,,,,,,,,0,,,,,,,0,31,,,,,0,,,,,,,,0,,,,,,,0,0,27,-,,,27,,,,,,,,0,,,,,,,0,27,,,0,41,0,30,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,41,0,30,0,31,0,27,0,10,0,3,0,21,0,24,,,,,,,10,71,,TRUE
AZR GOLD (Azure Gold Line),Rio Mint,✕,Mint,,"9,648",-,-,-,-,0,,65,,,,,,"6,500",,,,,,,0,"6,500",63,-,,,63,,5,,,,,,500,,5,,,,,500,"1,063",207,,,,207,,3,,,,,,300,,5,,,,,500,"1,007",178,-,,,178,,4,,,,,,400,,5,,,,,500,"1,078",,,"6,500","1,101","1,020","1,176",0,7,33,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"6,500","1,101","1,020","1,176","6,500","1,063","1,007","1,078",0,38,13,98,"6,500","1,025",994,980,,,,,,,178,"9,797",,TRUE
AZR BLACK (Azure Black Line),Royal Citrus (Black),✕,Normal,,90,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,58,-,,,58,,,,,,,,0,,,,,,,0,58,0,,,,0,,,,,,,,0,,,,,,,0,0,32,-,,,32,,,,,,,,0,,,,,,,0,32,,,0,58,8,37,0,0,149,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,58,8,37,0,58,0,32,0,0,8,5,0,58,-8,27,,,,,,,153,103,,TRUE
AZR GOLD (Azure Gold Line),Royal Mango,◯,Normal,1,"12,071",-,-,-,-,0,,95,,,,,,"9,500",,,,,,,0,"9,500",113,-,,,113,,2,,,,,,200,,4,,,,,400,713,217,,,,217,,,,,,,,0,,4,,,,,400,617,127,214,,,341,,4,,,,,,400,,5,,,,,500,"1,241",,,"10,000",961,781,938,0,236,195,478,,,,,-500,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,0,500,"9,500",961,781,"1,438","9,500",713,617,"1,241",0,248,164,197,"9,500",465,453,"1,044",,,,,,,909,"12,680",,TRUE
AZR BLACK (Azure Black Line),Royal Orange (Black),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AZR GOLD (Azure Gold Line),Royal Queen,✕,Strong,,171,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,55,-,,,55,,,,,,,,0,,,,,,,0,55,116,,,,116,,,,,,,,0,,,,,,,0,116,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,61,123,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,61,123,0,0,55,116,0,0,6,7,0,0,49,109,0,,,,,,,3,184,,TRUE
AZR GOLD (Azure Gold Line),Royal Raspberry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,TRUE
AZR GOLD (Azure Gold Line),Solana Beach,✕,Normal,,527,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,21,-,,,21,,,,,,,,0,,2,,,,,200,221,40,,,,40,,,,,,,,0,,1,,,,,100,140,66,-,,,66,,,,,,,,0,,1,,,,,100,166,,,0,226,133,176,0,4,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,226,133,176,0,221,140,166,0,5,-7,10,0,216,147,156,,,,,,,52,535,,TRUE
AZR GOLD (Azure Gold Line),Sour,◯,Normal,1,"7,864",-,-,-,-,0,,55,,,,,,"5,500",,,,,,,0,"5,500",182,-,,,182,,5,,,,,,500,,3,,,,,300,982,106,,,,106,,,,,,,,0,,4,,,,,400,506,176,-,,,176,,3,,,,,,300,,4,,,,,400,876,,,"6,000",990,379,"1,030",0,22,141,39,,,,,,,,,,,,,,,,,-500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,0,500,0,"5,500",990,879,"1,030","5,500",982,506,876,0,8,373,154,"5,500",974,133,722,,,,,,,202,"8,399",,TRUE
AZR BLACK (Azure Black Line),Sour (Black),✕,Normal,,40,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,18,-,,,18,,,,,,,,0,,,,,,,0,18,,,,,0,,,,,,,,0,,,,,,,0,0,22,-,,,22,,,,,,,,0,,,,,,,0,22,,,0,25,0,38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,25,0,38,0,18,0,22,0,7,0,16,0,11,0,6,,,,,,,0,63,,TRUE
AZR GOLD (Azure Gold Line),Strawberry Passion,✕,Normal,,57,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,57,-,,,57,,,,,,,,0,,,,,,,0,57,,,,,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,,,0,63,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,63,0,0,0,57,0,0,0,6,0,0,0,51,0,0,,,,,,,0,63,,TRUE
