ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,03/30,,,TRUE,03/30,,,TRUE,03/30,,佐賀県に持って行くぞ✈️,TRUE,03/30,,,TRUE,03/31,,,TRUE,03/31,,,TRUE,04/01,,,TRUE,04/04,,,TRUE,04/08,,,TRUE,04/15,,我慢できずに吸った。,TRUE,04/15,,,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
AF (Al Fakher),Peach,◯,Normal,1,"1,119",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,44,-,,,44,,,,,2,,,500,,,,,,,0,544,263,,,,263,,,,,,,,0,,,,,,,0,263,62,-,,,62,,,,,1,,,250,,,,,,,0,312,,,0,559,391,376,0,25,77,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,559,391,376,0,544,263,312,0,15,128,64,0,529,135,248,,,,,,,141,"1,326",,TRUE
AF (Al Fakher),Plum,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Rose,✕,Strong,,779,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,213,-,,,213,,,,,,,,0,,,,,,,0,213,275,,,,275,,,,,,,,0,,,,,,,0,275,191,-,,,191,2,,,,,,,100,,,,,,,0,291,,,0,224,290,313,0,22,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,224,290,313,0,213,275,291,0,11,15,22,0,202,260,269,,,,,,,55,827,,TRUE
AF (Al Fakher),Super Lemon Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Two Apples,◯,Strong,2,29,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,29,0,,,29,,,,,,,,0,,,,,,,0,29,0,,,,0,,,,,,,,0,,,,,,,0,0,0,0,,,0,,,,,,,,0,,,,,,,0,0,,,0,404,279,189,0,91,491,333,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,100,,,,,,-70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-170,70,100,0,234,349,289,0,29,0,0,0,205,349,289,0,-176,-349,-289,,,,,,,915,872,,TRUE
AF (Al Fakher),(パチ) Two Apples,△,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Vanilla,△,Sweet,1,"1,343",-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,260,-,,,260,,,,,1,,,250,,,,,,,0,510,60,,,,60,,,,,1,,,250,,,,,,,0,310,20,253,,,273,,,,,,,,0,,,,,,,0,273,,,500,614,473,94,0,75,128,72,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,250,614,473,344,250,510,310,273,0,104,163,71,250,406,147,202,,,,,,,275,"1,681",,TRUE
AF (Al Fakher),(パチ) Watermelon,✕,Strong,,164,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,,,0,,,,,,,,0,,,,,,,0,0,57,,,,57,,,,,,,,0,,,,,,,0,57,107,,,,107,,,,,,,,0,,,,,,,0,107,,,0,0,60,127,0,0,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,60,127,0,0,57,107,0,0,3,20,0,0,54,87,,,,,,,17,187,,TRUE
AWE (Al Waha Elite Edition),Libella Swing,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AZ (Afzal),Chocolate,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,FALSE
